text,rt_count, fav_count
Fashion breaks my hears,0,0
Our work is never over,0,0
I am not a fan of books,0,0
I will go down as the voice of this generation, of this decade, I will be the loudest voice.,0,0
Man, I'm the No. 1 living and breathing rock star. I am Axl Rose; I am Jim Morrison; I am Jimi Hendrix.,0,0
I still think I am the greatest.,0,0
I don't know what's better gettin' laid or gettin' paid.,0,0
Nobody can tell me where I can and can't go.,0,0
I am Warhol. I am the No. 1 most impactful artist of our generation. I am Shakespeare in the flesh.,0,0
Would you believe in what you believe in if you were the only one who believed it?,0,0
I feel like I'm too busy writing history to read it.,0,0
PABLO POP-UP SHOP MARCH 18-20 FRI 4-8 PM SAT SUN 12-8 PM AT 83 WOOSTER IN NYC https://t.co/j1t9Ng5JkO,7978,22262
Fixing Wolves 2day... Worked on it for 3 weeks. Life Of Pablo is a living breathing changing creative expression. #contemporaryart,18066,46957
Utah has eliminated homelessness by 91%,11492,32574
Non artist trying to grab the paint brush...,15213,26311
My tweets are a form of contemporary art only compromised by people trying to tell me what to tweet and not to tweet...,25216,40584
no one can ask me or try to tell me what to Instagram... It's my art...,19879,41988
on another note... I was thinking about getting an Instagram but only on one condition......,8628,30278
%1000 Steve Ballmer. Let's meet this week if you have time. I was hanging with Chris Paul last night.,3734,12999
Steve Ballmer can I please redesign the Clippers mascot,19284,35698
I believe in us,55885,55738
I think human beings can create a Utopia.,12092,26082
I care about quality,26387,34746
I care about truth.,31935,36077
I care about our future.,26089,34204
I care about people.,24422,33250
everyone can say anything they want about me but they could never say that I didn't care.,34993,41182
I have discovered my single greatest quality.  I care.,44753,60015
What do you mean by @JustinBieber was my favorite song of 2015,94391,140845
mood https://t.co/msQNDIoHgA,22143,60110
No more fashion calendar... I'm going Mad Max... 6 collections a year...3 albums a year,33867,63385
and yes Run is on my all time top ten list!!!,2622,10934
I feel like Rev Run, God MC tweeting positive energy while sitting in the bathroom!,6838,17326
Let's start the day off right!!! And y'all know what I'm bout to say now ...#allpositivevibes!!!!!!,15668,22797
My whole family loves you and your family and we appreciate the moment you helped realize on the Beams!!!,2891,12285
I love you. My dad loves you.,10094,19804
Thank you Kirk for standing by me through all the noise.,2865,11281
The choir arrangement that Kirk orchestrated is the most powerful thing I've heard in my earthly existence.,6253,18521
A lot of people tell me Ultralight Beam is my greatest artwork to date only rival being Jesus Walks.,16236,37175
Be strong today little bro!  “Come to me, all of you who are tired and have heavy loads, and I will give you rest. MATTHEW 11:28”,13260,24358
I just received a blessing from minister Kirk Franklin,3524,12652
Olivier designed clothes for my show… That was real,   that was groundbreaking,  that is a Real Friend.,2557,12913
Be real…,53446,39159
Don’t try to use me for advertisement or to make your proposed trend relevant.,4808,14676
If you wouldn’t invite me to your house then don’t invite me to your show.,10181,24497
Fake Fake Fake fake fake fake fake fake fake fake fake … just my analysis,69557,63568
So many people turned on her when she was fired and acted like they forgot the innovation and beauty that she brought to the world…,2094,9633
The fashion world is sooooooo fake and Carine is one of the very few real people in fashion…,2764,10983
I like T-shirts and women in yoga pants… I live in LA that’s what people wear… not sure why someone would put a suit jacket on with that.,8238,24505
All these journalists can give their opinions well these are mine…yes I believe in my ripped homeless sweaters!!!,19110,36644
Sorry I couldn’t be at Virgil’s show because I had a meeting in another city.,1619,8129
this is my friend and we've bounced ideas and references for years since the time when he designed for YEEZY Season 1.,1751,8787
I thank Demna for using the "I feel like Pablo" sweatshirts in his show,,2163,10164
I thank Olivier for designing his collection around my wife… this is visionary as I believe that Kim is our modern day everything.,4363,18346
Oh and I only came to Paris fashion to stand by my friends Olivier, Riccardo and Demna.,1990,9165
Just cause somebody is wearing combat boots doesn’t mean it’s all of a sudden youth.,3760,12762
I also hate all the stylists that copy Hedi Slimane and give their clients blatant YSL looks thinking that it will bring a younger client.,2487,9516
I feel we are so stuck in the past and tradition.,13018,19418
I especially hate suit jackets on women… that was a groundbreaking idea 5 million years ago!,3875,11490
I don’t personally like suit jackets anymore.,6039,14922
excited to see my family and finish the final mixes of the Life of Pablo and keep working on Turbo Grafx 16 and Season 4 ….,9188,25257
I’m on a plane coming back from Europe…,2830,11793
Get Top on the phoooone!!!!!  @Kendricklamar,19531,33750
we win,17888,22170
the pure of heart win…,24348,26099
the thinkers win…,21911,24751
the artists win...,13821,21480
the future thinkers win…,18603,23626
Together we stand… we win…,10829,17541
Thank you to @asvpxrocky for supporting me at the MSG show…,4433,18841
I guess in a media world where you never hear the truth, the truth can come off as crazy…,12256,21092
It’s been a lot of confusion in the past 3 weeks so let me apologize for in any way being confusing…,3920,13538
. @Adidas is making a million Yeezys this year, opening up new factories…,17475,38094
Feeling like Robin Hood…,5501,12294
what war?  a class war… a war against time…,4484,12111
sometimes the quiet moments feel like I’m home from battle…,5467,13218
can’t wait to get home to North, Saint and my wife…,9353,41929
Met with @Hermes_Paris family yesterday… been out here fighting for 13 years and it feels like we’re finally seeing wins…,2126,9296
Was speaking with @souljaian earlier about a new idea…,2184,8168
So proud of my brother @VirgilAbloh with his new @OffWht collection!!!,1995,7900
bear with me guys, Rome wasn’t built in a day but I promise to keep my promises…,8456,20668
really happy to get the quality of the products better at half the prices of last year…,3625,13185
Sitting with @Robinnowicki from @ustwo working on the YEEZY site…,1887,8029
playing the new Kendrick…  1 thousand images on the desktop…  Hennessy &amp; what’s left of the ice and coke zero…,8622,24130
Super inspired by my visit to Ikea today , really amazing company… my mind is racing with the possibilities…,24054,43276
Up late designing in Sweden…,4587,14617
please see these next tweets as such because the ideas will jump around a bit… a bit like a mood board...,2917,11481
this is a stream of consciousness… twitter poetry…,7069,16050
Thank you Carine for believing in the vision, You are a visionary https://t.co/f13xrRC5W9,1276,5665
muse https://t.co/JeXMTsZKmQ,31085,84025
###hashtag all positive vibes,35719,34091
